review,rate
"It was clean and that says a lot about SF. No homeless in front this time with their junk in front. The employees at this McDonald's are great for all they put up with on a daily basis. Super service and they should receive hazard pay
Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5",4
"Weird clientele at 11pm on a friday night northung was open after fanexpo. Food was great but i asked for keptup got none. I have never seen large fries in a paper small bag . Very interesting . Other than that thanks for being open
Food: 5/5  |  Service: 4/5  |  Atmosphere: 2/5

Recommended dishes
Mcdouble",2
"This place is really zero stars ..  I ordered a milk.shake for both my daughters today..one had a dog hair on the rim of the cup,the other had a human hair in th cup 🤢🤢🤮.it smells like urine in the front of the place and inside the entry way but I promised my kids  mc donalds so much so I gave it the benefit of the doubt hoping it would be good..even tho I  did a 360 a few times because of the homeless guy with a pungent urine odor that goes all around the area and they haven't fixed yet.  i  got the shakes for them..but when we got to our destination..it was hair In their shakes..both of them...I'm going on the bbb website tomorrow..they have to be held accountable...my daughter is feeling sick and having stomach issues now.🤬😡😡😡🤬!!!!!!!??????!!!. I only found my youngest daughters reciept",0
Honestly this place is a mess. Wait times are extremely long. Regardless of customer or delivery partner. The employees seem not to understand importance of time efficiency and stand back there laughing and joking when you got 30+ customers waiting inside the store. I avoid this place at all cost. Plus no parking either so either illegally park or walk blocks if you find parking in the neighborhood.,1
"A last resort option for food since it's one of the only places open late night downtown. The homeless have taken over the front of the restaurant and are constantly harassing people for free food or money both inside and outside. The self-serve kiosks which are touch screen, feel filthy to use.
The one bright spot is the staff are amazingly friendly and treat everyone fairly from my experience, however they can get orders wrong so a spot check at pick up is advised.
The food is typical for a Mcdonalds. Nothing special.",2
"I just left the McDonald's on Market Street in San Francisco. I can't believe how terrible the customer service i received here just now. The lady i ordered my food from was so rude and condescending it was wild. I was trying to order a combo meal and i wanted to add on a mocha frappuccino. I have no idea why i was getting so much attitude from her she was also calling me names in her language to her coworkers. I really wish i had gotten her name so i could make a formal complaint to her manager at the restaurant. Anyway, im not going back to that peticular McDonald's location but i love there food too much to not go there anymore.",-1
"No matter what simple item I order, they always get my order wrong, and if I shop online, they consistently neglect to include certain good. I keep going because it's supposed to be affordable and handy, but it's actually turned into the most uncomfortable location.
Food: 1/5  |  Service: 1/5  |  Atmosphere: 1/5",1
"I personally am extremely happy that this McDonald's is open at such an hour when all the surrounding establishments are closed. I needed to be on the last Bart out of the city going towards Millbrae in 15 min, I almost passed on going in and ordering, was glad that I didn't because my buy one get one for $1 Chicken and McDouble sandwiches made the ride home great!!!",-1
"The food was fine but no seating area nor toilets
Food: 5/5  |  Service: 5/5  |  Atmosphere: 3/5",2
"Good food, but in a tough location...I miss when they'd smile when they asked for your order...now half barely speak enough English...I miss going to McDonald's in the 80's....(just my opinion). M.W Sept. 2023
Food: 3/5  |  Service: 2/5  |  Atmosphere: 1/5",1
Almost everywhere I go everyone seems to be very kind and nice to me it all depends how we treat others we always want to give a smile😊😊😊       even though we're going through many problems or issues we still need to keep that smiling cogate smile on our faces. . All the girls at McDonald's they seem to be focused on their job and everyone is very motivated .,-1
"This place is so dark and gloomy, not a nice atmosphere. The food is thrown together and you get everything in a huge mess. The cashiers are slow and the machines are hit and miss. Never going back to this location
Food: 2/5  |  Service: 2/5  |  Atmosphere: 1/5",0
"The area outside and near this location is iffy and dirty all the time. And why is a one-time use paper bag $.25? There's no tables to eat in, so you're kinda forced to get a bag unless you want to fumble holding your fries and nuggets. Ridiculous.
Food: 3/5  |  Service: 2/5  |  Atmosphere: 1/5

Recommended dishes
Apple

Parking space
Somewhat difficult to find parking",0
"It's a McDonald's in San Francisco. It's always very clean, but otherwise if you've been too any other location you know what to expect here. No seats available though, as a note.

Parking: Zero parking on the sides of this block. Only availability is alleys with paid or short term times.",4
"I go to this McD's kinda alot because it's near where I work. Also because I work nights and it's just about the only place that is open that I am able to get to, order and get back in 30 mins. I use the app so there are 3 days per week that they give a free medium fry with $2 purchase. There's also other deals. They pretty much always have Buy one Big Mac, 1/4er lber, or Chicken Sand & get one more for $.29. Or buy one shake or McFlurry and get a second one for $.29. On top of those deals you get 1000 reward points for every dollar spent. I'm always on a budget so utilizing the deals and rewards, I'm able to get a large soda, medium fry and McDouble for about $5.i know it's not the best food but it's quick and cheap.
There's pretty much always a small group of panhandlers taking turns working the door and a large group of scooter food deliverers. There nowhere to sit there but across the street is a pretty nice public sitting spot but i rarely have time to sit and eat anyway. A few of the workers are really lame to deal with but the two female managers and the really nice guy that bags the food are great. They know me by name and as soon as they see my order they bag it just how i like it to be bagged. In the small handle bag that has a cup holder in it.
Anyway, that's my story and I'm sticking to it. The important part to remember is that you should download the app and to yourself. Enjoy",3
"I went during lunch time and had no issue. Pretty quick compared to other McDonald’s I visit back at home ( I’m
From Miami ) and the McDonald’s there are way to slow compared to this one.
Food: 4/5  |  Service: 5/5  |  Atmosphere: 4/5",3
